"","Cell_ID","clust_ID","X_position","Y_position","TSNE_D1","TSNE_D2","KERATIN","ASMA","CD45"
"1804",30760,4,9875.77419354839,5806.29032258064,-0.716032734050198,-2.69873035865663,6.86147486597665,8.82751068715044,5.93983163648351
"1805",10517,3,5441.08196721311,4959.99453551913,-0.716032734050198,-2.69873035865663,5.62376101751583,7.86753251798166,7.0703433317739
"1806",962,4,549.84,77.76,-0.716032734050198,-2.69873035865663,5.98746656582068,10.1181612557416,5.19537614426079
"1807",36168,1,10851.2282157676,1553.63485477178,-0.716032734050198,-2.69873035865663,10.0050471192913,7.2071219320945,6.38183005919446
"1808",104042,2,12917.654822335,9995.41624365482,-0.716032734050198,-2.69873035865663,6.7808501797706,8.70029363261822,6.29422588177898
"1809",37181,1,11016.9791666667,3229.125,-0.716032734050198,-2.69873035865663,10.9415839591351,5.92269486499814,5.84124709421456
"1810",106020,3,13361.765060241,7107.25301204819,-0.716032734050198,-2.69873035865663,7.42756333124209,8.28772243658418,8.01563970922284
"1811",56581,3,14064.912568306,1646.0218579235,-0.716032734050198,-2.69873035865663,7.00550163445319,6.33401701259295,8.096386409181
"1812",1408,4,848.796875,3780.609375,-0.716032734050198,-2.69873035865663,5.45331590113056,10.7525093724793,4.72517297838279
"1813",82161,2,7845.72222222222,6069.20634920635,-0.716032734050198,-2.69873035865663,7.09065647375001,7.06577375268844,5.84606405274933
"1814",9533,4,5159.53738317757,1706.1214953271,-0.716032734050198,-2.69873035865663,5.84351732740533,8.93828325518732,5.02354229346201
"1815",102959,2,12680.0185185185,7781.25,-0.716032734050198,-2.69873035865663,7.48865097162737,7.21810216416972,6.10079633348805
"1816",26544,3,9194.11363636364,1028.88636363636,-0.716032734050198,-2.69873035865663,6.66632045769568,7.44258591757826,8.66560927803154
"1817",86465,2,8860.44565217391,8349.65579710145,-0.716032734050198,-2.69873035865663,6.69867005339723,6.71394185595356,6.81840520098254
"1818",86183,3,8803.78308823529,7566.13235294118,-0.716032734050198,-2.69873035865663,7.14483364120997,8.53002085808997,7.17349337057582
"1819",10989,4,5562.88279301746,883.456359102244,-0.716032734050198,-2.69873035865663,5.15453050211274,9.21720528313873,5.83553964257042
"1820",78652,1,6897.31578947368,9334.2030075188,-0.716032734050198,-2.69873035865663,10.5326614657063,9.26211783484954,5.79786154836153
"1821",102082,1,12487.2044728435,6475.39936102236,-0.716032734050198,-2.69873035865663,8.62153420992763,8.386344823371,6.06771536094153
"1822",5691,2,3813.01781170483,294.119592875318,-0.716032734050198,-2.69873035865663,6.36157930513097,4.73671168660407,6.10975070751882
"1823",86325,1,8833.25363825364,10755.735966736,-0.716032734050198,-2.69873035865663,10.5601650432167,4.1197974962116,5.53320868959486
"1824",35898,1,10808.2125603865,1998.70531400966,-0.716032734050198,-2.69873035865663,9.9408525640776,6.81671206965384,5.4343125090863
"1825",56775,2,14099.0436363636,5102.75636363636,-0.716032734050198,-2.69873035865663,7.09065545622178,7.56617172406312,6.67647416185385
"1826",91860,1,9986.37012987013,9897.83441558442,-0.716032734050198,-2.69873035865663,8.54495110433714,5.12309393497611,6.71202869046224
"1827",99527,1,11876.2387543253,10220.214532872,-0.716032734050198,-2.69873035865663,9.33528051021711,6.63063545285782,5.33387153114518
"1828",62070,2,1328.06694560669,10725.6359832636,-0.716032734050198,-2.69873035865663,7.95828133975994,7.81264232313626,5.58530359025867
"1829",77120,1,6462.14906832298,6006.9751552795,-0.716032734050198,-2.69873035865663,10.6423947267859,7.0851007072434,6.50030995066189
"1830",68767,4,3855.53110047847,10759.9282296651,-0.716032734050198,-2.69873035865663,6.82928151531062,10.5087424984958,5.16199328784608
"1831",47366,3,12584.449339207,3062.18502202643,-0.716032734050198,-2.69873035865663,6.76267348438024,6.31896811374643,7.92852349358347
"1832",91681,3,9943.29268292683,6893.85365853659,-0.716032734050198,-2.69873035865663,7.23246875610328,7.21933845514693,7.83490392297131
"1833",30190,3,9791.68907563025,1393.54621848739,-0.716032734050198,-2.69873035865663,6.49402713422638,6.78507001592746,8.26238334554857
"1834",104189,4,12944.3131868132,10912.8626373626,-0.716032734050198,-2.69873035865663,8.00025920594717,8.40385548042748,5.74715067538987
"1835",88734,2,9337.50857142857,6287.11428571429,-0.716032734050198,-2.69873035865663,7.01604065591704,7.88409984795738,5.75444842945027
"1836",46916,3,12516.8662420382,5317.17834394904,-0.716032734050198,-2.69873035865663,8.7986210335026,8.94967517283351,6.98691960000714
"1837",1459,2,884.236363636364,4917.65454545455,-0.716032734050198,-2.69873035865663,6.16615605890036,5.42337355191063,6.5891348673065
"1838",106923,4,13590.4797601199,9955.65667166417,-0.716032734050198,-2.69873035865663,6.99159885016571,8.94967164079363,6.22966656229639
"1839",47327,2,12579.101744186,3610.19476744186,-0.716032734050198,-2.69873035865663,6.75008095655102,8.69057031146967,6.66507621585602
"1840",17309,2,7369.94214876033,2468.3347107438,-0.716032734050198,-2.69873035865663,6.11897059232519,7.54326459193957,6.79251137237938
"1841",14004,3,6523.63025210084,5014.63025210084,-0.716032734050198,-2.69873035865663,6.02598775425535,9.34464940333778,7.39506108955457
"1842",6891,4,4356.12,4878.28,-0.716032734050198,-2.69873035865663,7.35769224607756,10.8514913987584,5.55104560973629
"1843",2341,2,1433.83743842365,2641.97536945813,-0.716032734050198,-2.69873035865663,5.60088198483924,6.48007478299376,5.72061860185669
"1844",28161,4,9470.20404721754,851.403035413153,-0.716032734050198,-2.69873035865663,6.05013904925381,8.92356491484384,5.84734489434747
"1845",64191,4,2086.13618677043,9769.5486381323,-0.716032734050198,-2.69873035865663,6.06368566523002,9.1863729438468,5.20163075351264
"1846",22589,3,8447.53968253968,3943.25396825397,-0.716032734050198,-2.69873035865663,8.21713431220675,7.05453189835668,7.36502942147699
"1847",48481,3,12768.3941018767,2938.26809651475,-0.716032734050198,-2.69873035865663,6.56237971816473,4.22982334253173,7.46537290186498
"1848",35857,2,10807.7067833698,870.420131291028,-0.716032734050198,-2.69873035865663,6.515302516081,6.93371090321205,6.33026682730566
"1849",2319,4,1416.91279069767,3609.17441860465,-0.716032734050198,-2.69873035865663,5.4452577290184,10.6262666304308,5.16345618649351
"1850",43551,3,12037.3177966102,633.368644067797,-0.716032734050198,-2.69873035865663,6.54059578161562,8.98808572631571,8.40462597882714
