"","Cell_ID","clust_ID","X_position","Y_position","UMAP_D1","UMAP_D2","KERATIN","ASMA","CD45"
"72",1891,4,1135.60465116279,2984.2480620155,-2.21629288059383,-2.53060075627267,5.53657098977446,9.24126799686811,5.20245083045586
"73",103071,3,12710.4734042553,10191.5053191489,3.00809043353326,2.72328327640076,7.18970151805425,9.42795462228822,7.74711211828781
"74",13257,4,6259.40740740741,3536.58333333333,-0.221305427706526,-4.45000819613224,5.93770720580349,10.2325757821853,5.49743382450555
"75",44530,1,12181.8337408313,2933.8533007335,-4.46828723463014,1.46378901335765,9.93740813418559,5.64930133091213,5.85335405207863
"76",86973,3,8976.15974440895,8713.93290734824,3.71026204692139,3.1436442485541,6.79481552761519,7.44470255689058,8.20470327076773
"77",11597,4,5728,5119.00892857143,1.49511103491283,1.54226791305432,5.57018305250684,9.34428027489901,6.64758414356237
"78",37396,1,11066.1609195402,3262.3183908046,-3.89584431649385,1.79349913365987,10.2349602845206,6.59622793599371,6.02853053112666
"79",36517,3,10911.1490066225,5007.7119205298,-2.7008626585071,2.93515480655021,7.26212458685118,3.74372190635911,7.43827444735173
"80",85346,4,8616.06766917293,7651.25939849624,-2.51581207783458,-1.77063540664418,6.54913429665892,9.18178153576733,5.83748929048966
"81",58856,3,14402.4038461538,219.057692307692,1.81782424278911,0.232633247870518,6.02730492317658,8.71819809675831,7.99888451108392
"82",86750,1,8933.25617283951,6437.40277777778,-2.63891176254934,3.59683374630265,9.78746789177552,6.05618751304012,6.67861577857927
"83",87898,1,9174.78928571429,9564.29285714286,-1.16486864768588,2.7054321365637,10.4552568205656,4.88539595776342,6.28117803697639
"84",24509,3,8831.84472049689,4625.34989648033,2.084533592186,2.58026897589002,6.42531857067589,8.41808042862969,8.49969692106654
"85",51073,3,13226.8511111111,1416.60222222222,3.78508049795751,3.81101893299462,6.27503400768614,7.65093946512921,7.7585802451455
"86",35283,3,10702.4980694981,4168.10038610039,2.68753946056996,-1.41687160896559,6.76110791030934,8.75850702932273,8.53088817476308
"87",59957,4,364.879310344828,8158.93965517241,-2.68815977427726,-4.45517481222799,5.41129962486106,10.4107451806383,5.08871320810477
"88",107118,1,13625.630952381,10204.0952380952,-2.36126089847147,4.08238190853506,10.2779483856387,8.39990467632155,5.57784125129835
"89",16347,4,7167.27680311891,983.508771929825,-1.79333363817327,-3.49325168404394,5.73956724222059,9.71322979189787,5.51647384418736
"90",39826,3,11438.4600760456,869.494296577947,3.75599913765559,4.14229713151719,6.51881635619625,8.75417334951378,7.24848784628718
"91",86736,1,8934.16730038023,6389.42870722434,-5.35740661768862,-1.66621422865666,9.06583667290144,5.58363924147494,7.34671767455271
"92",64623,3,2238.14285714286,8084.26373626374,1.69815535329932,-1.58647598629002,6.36096079192047,9.06678211181767,8.06374105807467
"93",59426,4,127.568075117371,7748.36854460094,-2.75005751335361,-3.57182573039264,5.72396092502851,9.30828472334831,5.62381409911824
