Cell_ID,clust_ID,X_position,Y_position,KERATIN,ASMA,CD45
1441,2,868.395939086294,3340.32487309645,5.93268941950599,6.36595572355552,7.1963443004374
1442,4,866.613636363636,899.80303030303,5.10198908101379,10.6507218106285,5.06149162434201
1443,4,877.706168831169,3809.87337662338,6.31476190082533,8.34156696301272,5.35321899695008
1444,4,893.075187969925,5721.03383458647,5.3690630868624,10.6902089572401,4.8877027442255
1445,4,871.492462311558,728.944723618091,5.36082021157461,9.90421969651361,4.9357384526915
1446,2,873.104,4940.136,5.62667102220886,5.94939177068607,6.73380181185869
1447,4,874.376237623762,5531.08910891089,6.62838182846058,8.74528842329604,4.98648461384195
1448,4,872.3875,676.825,4.74514949604153,8.99488283245281,5.17530191565149
1449,2,872.071038251366,2925.69398907104,5.21852280658968,6.30388921090917,4.81887038174058
1450,4,885.21130952381,5755.90178571429,5.20351598585492,10.3877545805439,5.95700095327974
1451,4,880.563253012048,5625.73192771084,5.61458909121972,9.89503825270455,5.14712665910677
1452,2,882.498789346247,1522.56900726392,6.55280144043147,6.56019467435855,4.87658260800631
1453,4,878.025830258303,1009.69372693727,6.94206043923382,8.38876336564556,5.31326051011997
1454,4,879.627272727273,710.3,5.41496844865535,9.65085257739222,5.46097719520997
1455,2,883.559027777778,1482.79166666667,6.66899122848683,6.39996324367474,5.14219135741217
1456,2,884.321100917431,4077.99541284404,5.53366141752011,6.33636284900664,5.04570130514057
1457,4,881.065843621399,832.711934156379,5.44448209879031,10.1820689253798,5.12506566509362
1458,2,892.338709677419,5143.68548387097,5.62368749560459,6.5563697010668,6.9143651062937
1459,2,884.236363636364,4917.65454545455,6.16615605890036,5.42337355191063,6.5891348673065
1460,2,887.40157480315,1690.49606299213,7.40990876253516,5.94305767561426,5.3093196113971
1461,2,891.740484429066,1220.38062283737,5.88897380436589,6.74565148821585,5.84364470787489
1462,4,894.512367491166,642.791519434629,5.43547952744029,9.99448375047749,4.9416424226093
1463,2,895.788732394366,1372.95774647887,5.74233711193123,6.01506587397827,6.90774823670382
1464,4,887.89349112426,722.727810650888,5.26849847131364,10.1024618394965,4.80241921928093
1465,4,888.565714285714,2194.85142857143,8.34033053624104,8.0537090639593,5.36618961036628
1466,2,887.769230769231,2969.84615384615,5.83247445181771,6.1565307104186,5.87249691586445
1467,4,888.222222222222,694.814814814815,5.19747338494858,10.1649336605843,5.21246693156599
1468,2,890.835260115607,2459.23988439306,6.4850234583741,7.45336928650549,5.30224029762029
1469,2,893.187214611872,3527.34703196347,5.45547721291899,6.81698591560117,5.3149364915479
1470,2,898.478114478114,2160.40404040404,7.1504043249206,6.9312070793799,5.59685570000838
1471,4,896.169014084507,5883.80281690141,5.11467098890438,10.4849832133303,4.78905546475823
1472,2,892.831730769231,1895.57211538462,5.22977082401293,7.0574054621343,4.97367868259604
1473,2,893.247272727273,2904.58909090909,5.4459533653541,6.94280296147768,5.54602935422866
1474,2,897.974576271186,3486.78813559322,5.58791497606804,6.48368381928003,5.13427684132646
