Cell_ID,clust_ID,X_position,Y_position,CMD_X,CMD_Y
1,4,27068,24004,0.213820562680315,-0.0300542163169452
2,7,27084,24003,-0.130892827949131,0.00471164042564784
3,4,27288,24004,0.207557638074487,-0.0568479669180479
4,1,27342,24002,-0.0557708569500172,0.20104432894191
5,8,28139,24001,-0.160903844976605,0.140044260306448
6,8,28164,24001,-0.0994811431850628,0.0883564855810013
7,5,28379,24001,0.0973440184572548,-0.178569038660696
8,6,28669,24001,-0.164752779815735,-0.186640722635988
9,1,28743,24003,-0.129519484727395,0.172241377764718
10,4,29041,24002,0.21773088829686,-0.0147966207572223
11,6,29088,24001,-0.0828259145345558,-0.204770386531121
12,7,29698,24004,-0.173052154201036,-0.140698180519864
13,7,30028,24004,-0.187053546287474,-0.034918500018336
14,6,30114,24004,-0.106686107345287,-0.216307620984751
15,8,30276,24001,-0.233806246641465,0.0319445312239928
16,2,30329,24002,0.0579091683717787,0.138095653568192
17,3,30383,24003,0.222440934311516,0.0806206770189694
18,2,30457,24004,0.0375564115040733,0.183812523005526
19,3,27001,25816,0.199645959216976,0.108435895079914
20,3,27005,24009,0.221397733281511,0.0231504329773392
21,1,27006,24897,-0.140298585340052,0.200453577706437
22,4,27002,24760,0.213308897252899,-0.00356566320803838
23,7,27008,25718,-0.201641742359317,-0.0280350938404599
24,4,27003,24523,0.2019840336446,-0.030784280142385
25,1,27009,24574,-0.130214032886871,0.189517782753999
26,1,27004,24819,-0.0612683366253755,0.215657884647176
27,7,27009,24119,-0.183965819801587,-0.0702033829873746
28,8,27013,25768,-0.15116104152638,0.156425659356242
29,7,27013,24605,-0.202767457563168,-0.09384565102939
30,6,27010,25591,-0.046356634814084,-0.182174788944695
31,5,27018,24672,0.108730365153472,-0.182598244056162
32,8,27011,25554,-0.210325910777064,0.014953569082362
33,4,27017,24296,0.225805086397331,-0.00232546361522476
34,1,27023,25079,-0.0862885554326728,0.208948648366919
35,8,27022,25979,-0.211098551422014,0.0131963603830283
36,2,27020,24075,0.053918673038113,0.149570621726936
37,6,27026,24514,-0.0489684385145648,-0.15620507826907
38,5,27018,25837,0.0264219684033723,-0.135874718792682
39,4,27038,25844,0.197029134851624,-0.0514904698926885
40,7,27037,25804,-0.228025201309416,-0.032170229589397
41,4,27031,24869,0.152547919622111,-0.122217403102259
42,3,27035,24012,0.218770907570092,0.0351708248220323
43,1,27038,24097,-0.153428471649414,0.204306456286802
44,7,27033,24215,-0.164920712720675,-0.0672998376743443
45,8,27037,24552,-0.182560232239515,0.116714428635639
46,1,27036,24569,-0.144835902399467,0.184015561897146
47,2,27042,25148,0.00138005790501538,0.0490602878636883
48,7,27045,25522,-0.181521713267927,-0.0556082381816608
49,1,27044,25768,-0.0142571975621736,0.130822086754612
50,7,27044,25548,-0.184247748045696,-0.0563349340702892
51,4,27045,24032,0.21066415548414,-0.00837467157955078
52,6,27047,24685,-0.10380146154367,-0.0919342858476649
53,5,27042,24782,0.112809724294757,-0.125632963189886
54,8,27051,24193,-0.227614117432265,0.0904317249539379
55,8,27044,24208,-0.228117230780368,0.0911677858574399
56,1,27052,25990,-0.0378981200868282,0.0903529935997053
57,4,27052,24500,0.141256118210541,-0.135457628241214
58,3,27053,24657,0.185306475862237,0.128266517766334
59,7,27063,25458,-0.130812645859889,-0.095718691375241
60,1,27060,24606,-0.0225212186987055,0.165705611780126
61,8,27063,25115,-0.198170160310069,0.140458339083905
62,1,27067,25172,-0.0253914774678826,0.212140172862263
63,4,27063,24294,0.183517817679087,-0.0887492827440103
64,4,27067,24334,0.184719608596107,-0.0823776883033668
65,8,27073,24050,-0.222366441623075,0.0970434666872931
66,1,27067,25784,-0.0365437326317746,0.142096224081233
67,3,27067,25829,0.123295652208767,0.142347804246522
68,8,27070,25575,-0.224280451160309,0.0306816618867589
69,4,27069,24016,0.220094240349152,-0.0124141199089389
70,6,27075,25861,-0.0275376241310286,-0.140403823816365
71,1,27071,24169,-0.0329828385053959,0.173621481924941
72,3,27077,24249,0.216219776667489,0.0310771825479299
73,1,27080,24822,-0.0492991743392468,0.142319874768984
74,1,27081,25778,-0.051144463302683,0.179472471796698
75,1,27079,25997,-0.12059762915972,0.154939595316052
76,5,27087,25917,0.0804091885229941,-0.168998004668786
77,7,27090,24127,-0.174772855793948,-0.0875718113120081
78,7,27086,24011,-0.133003514081321,-0.00397891825585251
79,4,27081,24151,0.17334601489469,-0.0581989395865725
80,4,27097,25878,0.124886629505557,-0.0250310889421561
81,3,27092,24187,0.228882941886689,0.0215404531106198
82,1,27095,24982,-0.138355385588401,0.190107979405661
83,3,27097,24748,0.232054257254648,0.0558461256273453
84,5,27105,24529,0.0420616538977622,-0.186418564872897
85,6,27099,25594,-0.101397515783373,-0.111735689195608
86,5,27102,24157,0.0711047136971011,-0.195434447398023
87,3,27104,24643,0.215233169140154,0.0832543724424603
88,2,27112,24094,0.114311950418896,0.157064461091253
89,3,27111,24208,0.228829725961147,0.0511828999810448
90,1,27114,24783,-0.167543634593441,0.188300466730359
91,4,27116,25694,0.21555748957173,0.00337401715923278
92,1,27118,24800,-0.154263449223846,0.199946149805153
93,6,27122,24857,-0.0175189973020556,-0.0954314645682462
94,3,27120,24952,0.216926788434572,0.025890676472853
95,8,27119,25599,-0.235033043845781,0.0256953768771098
96,1,27117,24131,-0.0934502221448109,0.201520622061686
97,8,27129,25728,-0.227605554101809,0.0334366424432584
98,4,27130,25035,0.130318609245062,-0.0393794652304966
99,2,27123,25872,-0.00640784484316308,0.21004019813432
100,8,27127,24119,-0.15006951752527,0.150248126706144
101,1,27135,25141,-0.12715725169151,0.15172197917946
102,4,27136,24789,0.212904885653799,-0.0226602682904772
103,5,27138,25687,0.0161897917550526,-0.15704180588949
104,8,27141,24381,-0.123526708821908,0.118294587833701
105,3,27138,25636,0.0760727486570626,0.0607715274533434
106,4,27142,24549,0.169324457442594,-0.0735714280738948
107,5,27141,25620,0.0259469209864958,-0.112107502650128
108,3,27147,24086,0.162966972350462,0.132613956153984
109,4,27142,24957,0.166197346403527,-0.0830164004946829
110,5,27147,24049,0.11953265989205,-0.164267354630746
111,4,27146,24459,0.216622156800434,-0.0252987953383992
112,8,27152,24801,-0.167029858285821,0.165489102194901
113,7,27150,25344,-0.223392192253391,-0.0240586369624433
114,1,27151,25974,-0.0274229099411973,0.217199694646451
115,3,27148,24009,0.230891558065845,0.042293720510582
116,4,27154,24617,0.140177188424141,-0.102334656314464
117,1,27153,24216,-0.0148186817887385,0.193140147446659
118,3,27153,25666,0.185003695617034,0.0759563384374629
119,7,27147,25733,-0.167308640037679,-0.137626348765722
120,1,27156,24292,-0.0210250886829831,0.221674089168666
121,1,27163,24024,-0.0783900613399105,0.209424174639506
122,7,27170,25327,-0.200904332720766,-0.0554676547871977
123,5,27161,25697,0.0931661745097095,-0.180661800023093
124,5,27169,24592,0.00501055494051316,-0.176403110626009
125,5,27168,25381,0.0813585231439243,-0.152777921791291
126,5,27168,24044,0.149752596009461,-0.144895058573497
127,3,27174,24780,0.204190206564342,0.113811832807912
128,3,27173,25547,0.170145667919238,0.137030599836057
129,2,27174,25966,0.124233528565858,0.165073710732966
130,4,27175,25621,0.173389939536662,-0.0703036338681413
131,4,27175,24351,0.20954167146254,-0.00341605915762244
132,8,27181,24936,-0.22511973202494,0.0788381932897481
133,4,27177,24647,0.195554733196093,-0.0125644583813955
134,4,27175,24704,0.174971148202855,-0.0672952658794525
135,3,27181,24282,0.169057013153814,0.131271518269918
136,8,27184,24680,-0.222763381539232,0.0390082295177316
137,5,27176,25919,0.096791276352175,-0.160791675732293
138,4,27185,24738,0.17972239253674,-0.0675756747624614
139,1,27183,25162,-0.0510490733751897,0.0693596843316446
140,1,27187,24161,-0.163324895817702,0.192843139827394
141,6,27184,25414,-0.111664547895605,-0.0993122183710767
142,4,27186,24012,0.229889499671746,0.00795249222654208
143,3,27194,25342,0.182446815897991,0.116479722309676
144,3,27193,25145,0.104789955721777,0.0466163032178638
145,2,27196,24351,0.043948566262771,0.193565214573249
146,1,27199,25517,-0.157774920385976,0.186441088004494
147,1,27193,24210,-0.0954883253778028,0.163376911515891
148,2,27199,24565,0.07834044788707,0.130132918534918
149,2,27198,25948,0.14363954644485,0.173938595378532
150,4,27200,25372,0.195212612232678,0.0120564534842673
151,5,27197,24710,0.0493817120630874,-0.149177984524128
152,4,27203,24325,0.149417436262202,-0.0828287412898229
153,7,27195,24691,-0.15763012438436,-0.134604043334374
154,4,27202,24774,0.102537438500655,-0.0417262426545416
155,7,27210,25319,-0.183318815369673,-0.119012595375638
156,1,27205,24631,-0.0850967209904655,0.199353922925733
157,1,27216,24155,-0.0832336209833243,0.152360978399228
158,3,27217,24092,0.172803938350322,0.0534455950641972
159,3,27217,24245,0.145438563004654,0.143217620412939
160,8,27215,25155,-0.164801970567201,0.120991040428151
161,3,27220,24407,0.152707178231368,0.151376698687223
162,5,27220,25362,0.0737169179315666,-0.193930884824926
163,3,27222,25842,0.200671399679282,0.124574263769306
164,2,27220,25935,0.0560678905221831,0.147041004121735
165,5,27225,24370,0.00049240814992613,-0.188691606437616
166,3,27230,24487,0.226736195058421,0.0584365968252368
167,4,27225,24976,0.193204744578184,-0.0506279385221257
168,5,27232,25333,-0.00200364713580063,-0.197297234110067
169,4,27232,24281,0.141203963318185,-0.13016812252451
170,4,27233,24064,0.138944640769669,-0.125847818750872
171,3,27241,25438,0.192721020219536,0.142024681751214
172,3,27238,24129,0.140628146927328,0.146159992977964
173,6,27243,24168,-0.076704228310911,-0.0841314462300359
174,3,27241,24109,0.092555810610899,0.0328465352424445
175,1,27247,24087,-0.087851233367282,0.22552783160554
176,4,27245,25463,0.231407141334113,0.011455932480289
177,3,27240,25918,0.21840459116034,0.0725390416174583
178,2,27249,24633,0.13788817546435,0.158352057936526
179,4,27245,25310,0.160296944390233,-0.0251810850409808
180,3,27243,24813,0.232211338226642,0.0287042098839219
181,3,27247,24612,0.153970443323381,0.143141446300686
182,7,27247,24877,-0.175898237973948,-0.0935060782589873
183,7,27249,24028,-0.122135794932655,-0.0906377646931147
184,8,27253,25570,-0.146848244226023,0.151893228472833
185,8,27254,24271,-0.219786454805825,0.0207712733134935
186,4,27257,24299,0.206218281289801,-0.0348368465687164
187,3,27253,24059,0.188738618178929,0.0612420294132589
188,4,27254,24221,0.173992955885008,-0.0728920111394349
189,4,27256,24136,0.189299947365332,-0.067583277328904
190,6,27259,24202,-0.0474892072068525,-0.219487729412115
191,3,27255,24345,0.213292455913046,0.0238270779075449
192,6,27258,25536,-0.0123991582698799,-0.221417450856712
193,1,27256,25767,-0.0637891781925967,0.231326951842133
194,6,27254,25065,-0.0992541279121997,-0.155316365332447
195,5,27253,25290,0.00652842940461163,-0.0124985278863528
196,8,27258,24999,-0.0674042627181953,0.0181790348308846
197,8,27266,24794,-0.225191403692194,0.0642182885719131
198,4,27260,25043,0.216529433713045,-0.0290944894141958
199,3,27262,24105,0.122392444299034,0.0650226799637545
200,4,27261,24705,0.117172641416005,-0.0852169389259539
201,5,27264,25326,0.0371924433229834,-0.217109272542277
202,3,27262,24939,0.19947027835276,0.094039256546072
203,1,27265,25728,-0.10067287553753,0.162324064577457
204,3,27259,25298,0.1252509045338,0.047475289494461
205,3,27262,25802,0.186842709693252,0.0538528381734663
206,3,27269,24332,0.223614968320759,0.0684200020195308
207,2,27264,24875,0.108849007633051,0.195853681196888
208,8,27273,25138,-0.224881293005296,0.0814632745002905
209,8,27264,25874,-0.170009040276478,0.169494008633041
210,3,27268,24671,0.23235202946255,0.0214763819366495
211,8,27265,25061,-0.221305010523483,0.0533741072561149
212,4,27269,24655,0.185508253964186,-0.0551647392224113
213,8,27268,24600,-0.202159477996321,0.182421006300148
214,8,27273,24834,-0.205885967478625,0.131744904574898
215,5,27273,24184,0.0228881987967106,-0.192175836876302
216,1,27276,25294,-0.0157273627377652,0.0847892490661697
217,4,27271,24084,0.213109349560315,0.000881938873796787
218,2,27274,24982,0.00807696438723668,0.22113498574251
