Cell_ID,clust_ID,X_position,Y_position,CD45,e-Cadherin
713222,2,12346,16027,-1359,454
712958,1,12271,17135,190,-1228
699988,3,8157,19172,-865,-1630
812942,2,9739,21048,-974,381
700327,3,8306,19040,-636,-178
819802,2,11994,20970,-253,349
706322,2,10627,18488,-2451,587
812313,2,9551,21482,-340,716
698960,3,5121,19822,-317,-553
811956,2,9430,20161,-898,358
709878,2,11441,17392,-651,355
709672,2,11385,16236,-1092,495
703168,2,9877,19638,-898,737
712879,2,12262,17041,-589,515
812120,2,9485,20458,-1922,396
708102,3,10985,18294,-123,-856
697599,3,2986,16800,-2594,-971
808818,3,3530,21860,-1136,-934
809576,2,8237,20468,30,456
697898,3,3325,18933,-205,-816
816767,3,10861,21888,-2330,63
815125,2,10372,22570,-1201,565
808846,1,3713,22905,293,-419
817021,4,10952,20670,-641,-5
819179,2,11735,20889,-1250,459
711427,2,11877,16252,-627,618
815805,2,10556,22326,-1499,404
704493,3,10228,19197,-92,-705
711613,2,11935,18789,-1527,434
709980,2,11472,19114,-932,214
698742,3,4397,17031,-833,-886
700325,2,8303,19761,-351,199
810714,2,8988,22915,-840,393
809964,3,8656,21475,-144,-553
817581,3,11143,20992,-144,-547
710180,2,11525,17308,-858,406
707706,1,10907,19386,163,-901
820200,2,12151,23580,-821,607
706816,1,10719,19361,365,-735
706108,1,10580,18088,54,-856
700874,3,8592,18963,-310,-161
713011,2,12289,17277,-960,436
817480,2,11111,22042,-865,638
815861,2,10577,23356,-723,669
707156,2,10790,18737,-1395,530
817401,2,11084,23349,-1371,749
709697,2,11398,16691,-960,536
812191,3,9509,20491,-846,-560
812728,2,9676,22864,-1336,514
711702,4,11975,16754,-72,-335
820959,2,12490,23040,-2368,357
814841,2,10282,23234,-1127,325
818491,3,11441,22437,-214,-396
810307,3,8822,23074,-932,-362
712936,2,12269,19519,-566,481
814229,2,10117,22322,-918,476
820052,2,12086,20108,-287,575
817608,3,11144,21766,-575,-1055
702241,2,9330,19391,-506,245
705342,3,10423,17841,-2073,156
701853,2,9154,19751,150,195
712760,2,12224,18502,-803,594
698542,3,3955,18095,-180,-705
706296,1,10620,19267,312,-1032
814247,2,10112,21074,-925,279
809409,1,7883,20776,577,-588
816799,3,10874,23096,-411,-362
705397,1,10427,19453,691,-990
819275,2,11771,23759,-697,290
814394,2,10163,22392,-884,343
700614,2,8438,19462,-671,231
810547,3,8920,22443,-1325,-12
817320,2,11062,23740,54,710
816843,3,10884,22774,-1684,-388
817859,2,11224,22163,-1420,393
820864,3,12451,22114,-202,-952
818541,1,11461,23602,225,51
711291,1,11832,17581,6,-1905
812462,2,9597,23450,132,482
700133,2,8236,18097,-223,474
705732,1,10506,19324,521,-634
699333,1,7040,18747,91,-595
817501,3,11119,20957,-102,-1469
698435,1,3797,19122,572,-553
813970,2,10038,22155,-911,363
708104,1,10984,19264,385,-1905
820154,2,12126,20058,-426,884
817861,2,11219,23100,-1067,629
697868,3,3299,18230,-141,-610
698987,1,5166,17061,627,-459
810870,2,9045,22517,-622,351
708842,2,11169,18674,-1250,547
810455,2,8873,22221,-651,357
817942,3,11251,21679,-1292,-346
812124,2,9494,20393,-797,445
815380,2,10438,22145,-1051,708
817426,2,11100,22908,-2496,525
710587,3,11635,17915,-636,123
709831,2,11432,17232,-1051,463
809706,3,8440,23178,-540,-756
705586,2,10473,17839,-1667,352
814526,2,10195,20619,-1303,373
815856,2,10579,20702,-247,499
814131,2,10084,21535,-768,616
817461,2,11106,23426,-1127,584
704858,2,10315,18353,-871,494
703061,2,9832,19568,-1154,542
707183,1,10793,19192,519,-626
809190,3,6888,20927,-125,-756
813193,2,9826,20772,-197,492
810877,2,9048,21835,136,408
706794,2,10721,16864,-791,380
711815,2,11997,16157,-82,729
811176,2,9153,20293,-469,403
701868,3,9165,19617,-17,-871
811278,2,9191,20923,-656,629
697608,3,3012,19353,-247,-791
703031,3,9817,19589,-1348,-626
698667,3,4252,17141,-82,-454
701077,2,8711,19725,-117,618
701517,2,8985,19715,52,382
697708,3,3184,16630,-1667,-886
819335,2,11803,23154,-686,565
698586,3,4057,17849,-1012,-856
814675,2,10233,20215,-651,69
700585,2,8425,18932,-40,182
698861,3,4624,17254,-473,-816
813782,2,9987,20359,-1667,587
707385,2,10833,17378,-1994,394
813684,2,9970,21009,-584,502
812216,2,9518,21039,-878,637
712431,2,12138,17553,-2020,380
808772,1,3312,21739,573,-371
812489,2,9610,21466,-1027,299
712100,4,12063,16438,-232,-503
814874,2,10298,23373,-1617,393
706527,1,10664,19075,779,-886
698674,3,4275,17418,-681,-714
812925,2,9737,20718,-1084,682
818445,2,11427,22064,-898,592
707417,1,10840,19567,860,-668
813191,1,9827,21865,256,-288
709199,3,11263,16915,-1172,52
708473,1,11070,19237,39,-231
702244,3,9332,19777,-354,-528
709076,2,11234,18541,-1282,613
705091,1,10362,19174,392,-971
712281,2,12107,16416,-382,396
709966,3,11464,16277,-751,-305
699253,3,6797,18240,-217,-659
820463,2,12297,20433,-1076,568
700286,2,8286,19762,-442,520
702051,2,9227,19983,17,190
706399,1,10643,19588,947,-886
710614,2,11640,16834,-287,624
705225,1,10389,18916,507,-1079
705712,2,10502,18528,-884,290
708768,2,11153,18682,-469,380
699707,1,7633,19155,181,-503
706149,3,10596,18159,-918,-305
810225,3,8782,20544,-734,-668
709793,2,11417,18912,-1650,732
816873,2,10900,22329,-1794,499
814252,2,10120,21031,-891,644
813502,2,9911,20995,-1633,456
710059,2,11493,16447,-423,603
706622,2,10689,18282,-1856,552
815634,2,10506,21991,-461,579
700487,2,8382,17881,-220,248
711930,2,12014,19120,-1101,567
809463,2,8060,20040,-389,144
713145,2,12320,18979,-1076,760
709874,2,11438,16963,-1240,378
813719,2,9974,20424,-740,569
713207,2,12346,16837,-1210,390
809036,3,5706,23400,-278,-745
811934,3,9417,20413,-1076,-917
700422,1,8347,18934,224,156
708248,2,11027,16033,-1220,606
817924,3,11244,22850,-641,-1469
812894,2,9726,23014,-878,213
697615,3,3025,16812,-67,-470
819506,2,11874,21121,-580,778
711348,2,11848,17470,-593,628
713450,2,12408,18831,-1154,507
809151,1,6604,23737,313,-779
814098,3,10071,23242,-531,-714
706679,2,10696,18580,-1407,242
713200,2,12335,16210,-1499,150
704826,2,10308,18467,-1076,251
812868,2,9714,20291,-1261,516
697700,3,3177,16921,-535,-886
712615,2,12192,17968,-1325,448
810403,2,8856,21412,-60,262
818826,2,11573,23312,-946,531
810424,3,8869,21839,-2224,-1905
708572,2,11099,16454,-1020,654
815252,3,10402,23294,-666,-405
815846,3,10566,22936,-333,-1228
699529,1,7336,19802,269,-439
712416,3,12134,17958,-566,-1228
811220,2,9170,23022,-1261,613
819810,2,11998,22587,-1240,591
702962,2,9787,18272,-1458,654
706397,1,10641,19507,494,-735
711462,2,11886,18786,-1814,384
810426,2,8867,21545,-713,308
700923,3,8622,19570,-1856,105
817994,2,11268,22392,-622,716
713724,2,12492,19758,-1012,576
699156,1,6293,17356,389,-470
816509,2,10767,23187,-1154,542
701670,2,9077,19404,-1201,371
701805,2,9139,18364,-631,447
699223,3,6633,17589,-997,-1132
709113,2,11244,17997,-1756,647
810108,2,8730,22925,-729,486
709051,2,11229,17973,-1737,508
817959,2,11251,22150,-2020,390
712404,2,12132,16064,-681,342
711643,2,11940,17423,-1420,724
818697,2,11523,23657,32,712
697653,3,3134,18997,-911,-856
812694,2,9665,23173,-1348,309
702764,2,9689,18420,-1230,728
700595,2,8430,19656,-891,384
811621,2,9312,22451,-1118,390
813931,3,10029,20547,-125,66
809988,2,8674,21521,-294,441
815158,2,10375,20083,-1348,407
808890,3,4020,21027,-400,-602
699433,3,7204,19536,-22,-650
708755,2,11146,16682,-1556,358
700461,2,8367,19734,-489,191
700333,2,8309,19871,-226,379
816524,2,10774,21274,-751,592
702838,2,9723,18510,-1292,554
819525,2,11881,20906,-1110,428
817887,2,11232,21455,-697,395
816318,2,10708,21872,-661,549
712863,2,12250,16204,-656,580
707456,1,10851,17413,91,-401
814919,2,10306,23228,-904,499
698994,1,5215,17752,45,-567
701566,2,9018,19126,-713,627
820373,2,12248,20045,-891,583
700052,2,8197,19368,-1051,343
713317,3,12372,18808,-1527,-268
707990,3,10961,19153,-333,-475
699870,2,8063,19927,-400,252
708301,1,11031,18729,399,-610
706088,1,10580,18102,335,-424
818944,2,11626,22792,-774,414
810652,2,8961,21703,-932,292
813180,2,9817,20726,-275,481
709160,3,11252,16549,-932,-1630
814683,2,10244,23146,-1172,440
809598,2,8272,20467,-846,626
812021,2,9460,22250,-974,328
707371,3,10837,17901,-220,-1265
709331,4,11302,18475,-1240,-444
705657,1,10485,18922,799,-498
816603,2,10803,23074,-821,533
809656,1,8369,23336,208,-459
708815,1,11159,16440,372,-97
815409,2,10449,20931,-489,208
818675,2,11518,22365,-803,722
813605,2,9937,23040,-1145,328
814823,2,10284,20020,-815,577
818914,2,11620,23159,-1684,476
713471,2,12412,16718,-803,418
709559,2,11361,17899,-1076,325
703392,2,9955,19347,-603,421
810117,2,8739,21592,-593,289
819215,3,11745,22280,-681,195
711198,2,11809,17654,-1020,249
710190,3,11528,17516,-1145,-470
817293,2,11056,21094,-702,677
708904,3,11184,17335,-469,-695
712159,2,12079,17068,-553,393
710326,3,11570,16514,-461,-1265
702469,2,9522,19121,-692,758
814355,3,10149,22671,-497,-1079
710498,2,11608,17717,-1240,743
815747,2,10538,23556,-1271,479
699663,1,7506,19314,140,-454
708258,2,11022,16916,-446,513
713378,2,12391,18093,-1101,342
820717,2,12405,20062,-1145,202
810292,2,8810,21770,-757,463
700361,2,8315,19095,-1945,495
709843,3,11438,17891,-544,-323
704047,3,10114,18742,-180,-971
708743,2,11144,16735,-1835,367
814831,2,10280,23069,-514,514
810889,3,9057,22254,-797,-816
819088,2,11683,22115,-1182,550
808802,3,3475,21889,-493,-767
710486,2,11609,18770,-2368,456
706348,2,10638,18386,-1012,675
700004,2,8173,19604,-82,242
812310,2,9544,22974,-1314,343
700637,2,8450,18544,-751,382
710196,2,11532,17149,-1314,455
811051,2,9115,21395,-340,472
814392,2,10163,20864,-1250,106
697733,3,3202,19347,-518,-816
700928,2,8625,18873,-557,191
698862,1,4635,17083,129,-388
809634,3,8324,23295,-627,-816
710822,2,11704,19197,-1172,666
700583,2,8424,19844,-60,712
700891,3,8607,18770,-1118,-1407
813137,3,9799,21019,-809,149
712812,3,12236,19421,-1499,-106
702620,3,9616,19488,-259,279
698753,1,4419,19497,140,-498
709164,2,11255,17111,-1076,511
701069,2,8706,18978,-1314,109
706817,2,10727,16841,-612,547
813976,3,10039,22284,-1210,-449
817072,2,10974,22311,-797,726
810043,3,8696,21689,-686,-492
813255,3,9838,21624,-932,-714
812946,2,9745,22355,-211,338
706703,2,10702,17944,-1220,583
701434,2,8923,18992,-692,473
709675,2,11387,18855,-2020,285
811401,3,9236,22102,-627,150
706724,2,10713,18569,-1756,683
699061,1,5678,17576,111,-481
817373,2,11079,21105,-477,742
712386,2,12125,20002,-307,968
710218,2,11532,16943,-1371,721
712297,2,12105,18562,-1210,566
702998,2,9806,17860,-871,339
817740,3,11185,21456,-840,-261
704600,1,10255,19161,462,-1055
708368,2,11049,18939,-1092,632
712714,2,12217,19258,-1027,424
815818,2,10557,21844,-809,496
712234,2,12093,18471,-1395,135
810536,2,8922,23105,-1458,442
712399,4,12133,18671,-489,-163
709873,2,11442,18112,-871,721
812677,2,9659,20819,-1154,639
816417,2,10739,21994,-1059,778
813797,2,9992,22948,-389,539
708297,2,11035,17167,-1407,404
816974,2,10935,21119,-898,369
699667,3,7509,19265,-666,-934
712498,3,12157,17968,-656,37
709872,3,11445,17315,-898,-10
809793,1,8525,22433,275,-990
817510,3,11118,20794,-510,186
710162,3,11514,18211,-757,-756
812279,2,9536,22746,-702,572
699697,1,7606,19216,188,-481
809891,2,8587,20565,-762,278
705557,2,10474,18391,-661,575
810388,2,8850,20996,-636,475
708527,2,11084,18275,-510,557
712878,2,12251,16746,-1383,553
815182,2,10389,22174,-1325,622
702765,4,9688,19787,-160,-61
710183,2,11522,16916,-2101,251
819181,2,11738,21146,-287,727
698722,3,4362,17107,-275,-871
711050,2,11767,16904,-774,542
700633,2,8452,19814,-307,663
811271,2,9191,21125,-1004,536
700404,2,8338,19891,-313,355
698141,1,3491,19604,367,-271
817385,2,11085,22011,-967,538
709372,2,11313,16767,-1230,348
708866,3,11173,19239,-393,-1354
818350,3,11390,21644,-481,-168
817769,2,11196,23352,-1513,532
815262,3,10402,21227,-1027,-668
815964,3,10601,22974,-510,-1104
810934,2,9070,22477,-566,199
701621,2,9044,18958,-50,542
817853,2,11224,20634,-878,426
817583,3,11140,22257,-1012,-595
810891,2,9055,21761,-762,222
816512,2,10773,22840,-1314,640
698273,3,3615,17516,-152,-602
810031,2,8686,22896,4,477
708123,1,10992,18647,577,-886
813365,2,9872,22237,-404,408
698360,3,3707,18649,-411,-676
697641,3,3102,19052,-1004,-829
702127,2,9263,18494,-477,426
813795,2,9994,21925,-485,544
705982,3,10561,18087,-297,-1104
697968,3,3377,16883,-1684,-1307
809766,3,8505,21781,-389,-952
816456,2,10748,23022,-408,282
706151,1,10592,18948,684,-842
711866,2,12005,16299,-1067,443
812096,2,9488,21376,-241,617
707182,2,10793,18354,-989,579
708556,2,11091,18285,-400,348
708628,2,11111,16319,-779,641
709867,2,11433,17381,-762,297
713055,2,12297,18674,-1877,455
700770,2,8535,19629,-1556,226
812424,2,9576,22195,-2258,652
710007,2,11472,16413,-1084,578
810050,3,8705,22612,-497,-371
710825,2,11705,17674,-1163,472
812664,2,9649,20640,-1051,455
705766,2,10517,17830,-1336,218
702240,3,9322,19214,-953,-194
706921,3,10747,18733,-1556,-33
815272,2,10416,22315,-1395,283
700947,2,8645,17689,-404,553
820475,2,12307,20052,-1684,543
699549,1,7352,18883,359,-459
700587,4,8430,19964,-55,-366
709770,2,11410,16328,-1922,485
708052,2,10970,17163,-1059,198
819442,2,11847,22225,-797,454
817107,2,10983,21951,-1756,575
699170,1,6335,16742,728,-515
699382,3,7140,19332,-442,-842
705118,2,10372,19924,-1303,330
812745,2,9686,22459,-1617,352
703076,2,9838,19675,-898,775
810353,2,8830,22889,-589,245
817868,2,11226,20719,-1118,509
811329,3,9212,22285,-846,-1469
702129,3,9260,18642,-636,-1010
815212,2,10394,22522,-1314,377
811097,2,9131,22929,-1407,338
817796,2,11202,21995,-729,765
711489,2,11888,18444,-2368,544
707873,1,10937,19318,864,-626
810795,2,9010,21680,-361,615
697581,3,2954,16184,-617,-901
815422,2,10452,21765,-852,729
710091,2,11499,16725,-1092,591
820284,3,12191,22139,-1701,-444
811561,2,9294,20047,-571,459
707335,2,10829,18767,-641,438
703407,2,9952,19376,-1084,542
820759,2,12421,22205,-1261,671
699267,3,6897,16076,-304,-714
701362,2,8887,19115,-174,642
812839,2,9710,23174,-865,443
698925,3,4989,16256,-26,-547
811283,2,9195,22634,-1145,474
700137,2,8231,18120,-229,477
820547,2,12336,20311,-603,607
700922,4,8617,18999,-1230,-588
818544,2,11464,20257,-544,803
820750,2,12424,20312,-676,544
812590,2,9635,20725,-1969,453
711295,3,11835,16911,-785,-634
712572,2,12189,19083,-361,569
819745,2,11977,23791,-182,779
809762,3,8502,23794,-408,-610
710552,2,11627,18736,-1617,324
701302,2,8854,19379,-729,466
709357,2,11306,17379,-2046,221
819400,2,11832,22071,-265,643
809621,3,8308,23216,-718,-1010
700018,3,8177,18293,-1395,-1228
701056,2,8698,19197,-220,114
700894,3,8608,19345,-1035,-116
813374,3,9873,23512,-115,-1010
711821,2,11997,18459,-1136,699
819702,3,11958,22228,-946,-475
702616,2,9610,19828,-1118,304
712462,2,12153,16912,-320,692
814682,2,10235,22922,-1667,597
713722,2,12494,18713,-871,470
811471,2,9260,22527,-598,441
708462,1,11066,18791,190,-1055
820064,2,12089,22167,-840,449
699081,3,5728,19874,-762,-990
697469,3,2531,16759,-202,-1407
819744,2,11972,23558,-415,783
815617,2,10509,20412,-911,541
697947,3,3360,18443,-446,-724
708091,3,10985,18893,-67,-1193
813166,2,9816,22605,-607,209
815244,2,10398,23597,-361,710
810177,2,8763,22854,-827,389
817616,2,11151,23440,-1020,755
810775,2,9013,21610,-527,510
704274,3,10169,17996,-785,-1228
819388,2,11827,21061,-1230,581
809781,1,8519,23014,703,-375
698411,3,3768,18695,-337,-735
820813,3,12441,23657,-898,120
701837,3,9154,19542,-351,317
707185,2,10801,16012,-827,621
706613,3,10686,16398,-1407,-1032
713401,3,12396,18126,-548,-856
705612,3,10484,17865,-1485,-595
697943,3,3352,19411,-911,-856
708282,3,11024,16611,-1020,480
707313,2,10822,17181,-1756,593
708388,2,11042,17360,-1092,630
700945,4,8637,16030,-105,-791
811420,3,9238,22266,-1067,-252
707360,2,10831,17950,-1004,645
704187,3,10150,18084,-481,-1010
706314,3,10626,18823,-723,-705
809740,3,8481,22077,-87,-1055
819935,3,12037,23817,-707,-1228
809883,3,8588,21755,-105,332
816810,2,10875,21219,-434,88
809707,2,8440,20537,-960,675
698026,3,3422,18167,-259,-745
703735,2,10041,17951,-702,515
820334,2,12223,20025,-656,720
701514,2,8987,19437,-1136,272
698375,3,3729,17646,-94,-547
813371,2,9875,22128,-681,492
699070,1,5702,16236,153,-588
813132,2,9804,21041,-791,519
711505,2,11899,16961,-1220,214
705209,3,10389,19556,-368,-990
816347,2,10722,22743,-364,538
708851,2,11173,16871,-1067,579
707445,3,10851,18284,-87,334
810463,4,8881,23892,-791,-990
705103,1,10364,19479,519,-1010
713185,2,12332,17183,-997,533
710346,3,11574,16461,-535,-618
809238,3,7313,22510,-584,-901
709829,2,11434,18970,-1250,235
813644,2,9951,21814,-1571,316
813891,2,10011,22595,-676,281
710285,3,11552,18227,-932,344
709604,2,11367,17639,-1154,349
814802,2,10272,21000,-55,558
