channel,type,frequency
CD45,Immune,467
CD45,Epithelial,-945
CD45,Stromal,-562
CD45,Other,-820
e-Cadherin,Immune,-686
e-Cadherin,Epithelial,663
e-Cadherin,Stromal,-616
e-Cadherin,Other,-1981
Vimentin,Immune,596
Vimentin,Epithelial,-802
Vimentin,Stromal,718
Vimentin,Other,-972
aSMA,Immune,-579
aSMA,Epithelial,-499
aSMA,Stromal,-32
aSMA,Other,-1978
