Target Protein,Fluorophore,Performance (Human),Vendor,Catalog Number,Clone,RRID,Note
ERK,,*,Cell Signaling Technology,4696,L34F12,AB_390780,
ERK (pT202; pY204),Alexa Fluor 647,*,Cell Signaling Technology,4375,E10,AB_10706777,
ERK-1 (pT202; pY204),,*,Cell Signaling Technology,4370,D13.14.4E,AB_2297462,
ET1,,*,Abcam,ab2786,TR.ET.48.5,AB_303299,
EZHZ2,Alexa Fluor 647,*,Cell Signaling Technology,45638,D2C9,AB_2799287,
FANCD2,Alexa Fluor 647,*,Abcam,ab200763,EPR2302,AB_2889218,
FANCD2,,*,Bethyl Laboratories Inc.,IHC-00624,,AB_10752755,
FLAG,,*,Millipore Sigma,F1804,M2,AB_262044,
FN,Alexa Fluor 488,*,Abcam,ab198933,F1,AB_2728807,
FOXJ1,,*,Thermo Fisher Scientific,PA5-36210,,AB_2553418,
FOXM1,,*,Cell Signaling Technology,5436S,D12D5,AB_10692483,
FOXM1,,*,Millipore Sigma,HPA029974,,AB_10670030,
FOXO3,,*,Santa Cruz Biotechnology,sc-9812,S-20,AB_640608,
Gamma Tubulin,Alexa Fluor 647,*,Abcam,ab191114,TU-30,AB_2889219,
Gamma Tubulin,Alexa Fluor 488,*,Abcam,ab205475,EPR16793,AB_2889220,
GATA4,Alexa Fluor 647,*,Abcam,ab194072,EPR4768,,Discontinued
GLUT1,Alexa Fluor 647,*,Abcam,ab195020,EPR3915,AB_2783877,
Granzyme A,APC,*,R&D Systems,IC29051A,356412,AB_894691,
Granzyme B,,*,Abcam,ab134933,EPR8260,AB_2889221,
Granzyme B,,*,Abcam,ab4059,,AB_304251,
HER3,phycoerythrin,*,Cell Signaling Technology,77956,D22C5,AB_2799907,
HGH,Alexa Fluor 647,*,Novus Biologicals,NB500-364 AF647,GH-45,AB_10001069,
Histone H2A.X (pS139),phycoerythrin,*,BioLegend,613412,2F3,AB_2616871,
Histone H2A.X (pS139),Alexa Fluor 555,*,Cell Signaling Technology,8228S,20E3,AB_10858874,Discontinued
Histone H2B,,*,Santa Cruz Biotechnology,sc-8650,,AB_2118153,Discontinued
Histone H3.1 (K27me3),Alexa Fluor 647,*,Cell Signaling Technology,12158,C36B11,AB_2797834,
HMB45,,*,Abcam,ab732,HMB45;DT101;BC199,AB_305844,
HO1,Alexa Fluor 594,*,Abcam,ab215098,EPR1390Y,AB_2889222,
HO1,Alexa Fluor 488,*,Abcam,ab214643,EPR1390Y,AB_2889223,
HP1 alpha,Alexa Fluor 647,*,Abcam,ab198391,EPR5777,AB_2728810,
HSF1,,*,StressMarq Biosciences,SMC-118,10H8,AB_2120255,
Hsp90 beta (pS226),,*,Abcam,ab63562,,AB_1140737,
Hsp90b,,*,Santa Cruz Biotechnology,sc-1057,D-19,AB_2121392,Discontinued
I-kappaB-Alpha,,*,Cell Signaling Technology,4814,L35A5,AB_390781,
IBA1,FITC,*,Bioss,bs-1363R-FITC,,AB_11098006,
IFNG,Alexa Fluor 488,*,BioLegend,502517,4S.B3,AB_493030,
IL-1 beta,FITC,*,BioLegend,511705,H1b-98,AB_1236434,
IL-3,phycoerythrin,*,BD Biosciences,554383,Mp2-8F8,AB_395358,
IL-6,FITC,*,BioLegend,501103,MQ2-13A5,AB_315151,
IRF-1,Alexa Fluor 647,*,Cell Signaling Technology,14105,D5E4,AB_2798393,
IRF-3,,*,Cell Signaling Technology,10949,D9J5Q,AB_2797733,
IRF-4,,*,Abcam,ab12501,MUM1p,AB_2296152,
IRF-5,Alexa Fluor 555,*,Abcam,ab210656,EPR17067,AB_2889224,
IRF-7,phycoerythrin,*,Abcam,ab210435,EPR4718,,Discontinued
Lamin-A/C,Alexa Fluor 488,*,Abcam,ab185014,EPR4100,AB_2889225,
Lamin-B,Alexa Fluor 647,*,Abcam,ab194108,EPR8985(B),AB_2889226,
LAP,Alexa Fluor 488,*,BioLegend,349605,TW4-2F8,AB_10679043,
LC3,Alexa Fluor 647,*,Cell Signaling Technology,13394,D3U4C,AB_2798205,
LC3,,*,Abcam,ab81785,,AB_1640136,
MAD2L2,Alexa Fluor 555,*,Abcam,ab210653,EPR13657,AB_2889227,
MDM2,Alexa Fluor 647,*,Abcam,ab216076,SMP14,AB_2889228,
MERTK,,*,Abcam,ab110108,,AB_10858972,
MGMT,FITC,*,EpiGentek,A52414-050,,AB_2889338,
MGMT,Alexa Fluor 647,*,Millipore Sigma,MAB16200 AF647,MT3.1,AB_2281919,
MGMT,Alexa Fluor 647,*,Novus Biologicals,NB100-168 AF647,MT 23.2,AB_10002128,
MGMT,,*,Abcam,ab39253,MT3.1,AB_776338,
MGMT,,*,Origene,TA800856GM,OTI4E6,AB_2625715,
MITF,,*,Abcam,ab12039,C5,AB_298801,
MITF,,*,Abcam,ab80651,,AB_1603129,
MRP1,Alexa Fluor 647,*,BioLegend,370203,QCRL-2,AB_2566664,
mTOR (pS2448),,*,Cell Signaling Technology,2971,,AB_330970,
mTOR (pS2448),eFluor 660,*,Thermo Fisher Scientific (eBioscience),50-9718-41,MRRBY,AB_2574351,
N-cadherin,,*,Abcam,ab18203,,AB_444317,
Nestin,eFluor 570,*,Thermo Fisher Scientific,41-9843-80,10C2,AB_2573652,
Neurofibromin,,*,Abcam,ab178323,McNFn27b,AB_2728814,
NQO1,Alexa Fluor 647,*,Abcam,ab195874,A180,,Discontinued
NRF2,Alexa Fluor 488,*,Abcam,ab194984,EP1808Y,AB_2889229,
NTRK1,,*,Abcam,ab76291,EP1058Y,AB_1524514,
Nuclear factor NF-kappa-B p65 subunit,Alexa Fluor 647,*,Abcam,ab190589,E379,AB_2728800,
Olig2,Alexa Fluor 488,*,Millipore Sigma,AB9610-AF488,,AB_570666,
Olig2,Alexa Fluor 488,*,Millipore Sigma,MABN50A4,211F1.1,AB_11205039,
Olig2,,*,Millipore Sigma,AB9610-AF555,,AB_570667,
p-P44/42 MAPK (Erk1: pY204; Erk2: pY187),phycoerythrin,*,Cell Signaling Technology,75165S,D1H6G,AB_2728835,
p53,Alexa Fluor 488,*,Cell Signaling Technology,5429S,7F5,AB_10695458,
PARP-1 (D214-cleaved),Alexa Fluor 555,*,Cell Signaling Technology,6894S,D64E10,AB_10830735,
PCNA,Alexa Fluor 647,*,Abcam,ab201674,PC10,AB_2857977,
PD-1,Alexa Fluor 488,*,Abcam,ab195885,NAT105,,Discontinued
PD-L1,phycoerythrin,*,BioLegend,329705,29E.2A3,AB_940366,
PLK1,Alexa Fluor 647,*,Bioss,bs-3535R-A647,,AB_2889334,
PML,Alexa Fluor 555,*,Abcam,ab217524,EPR16768,,Discontinued
PMS2,Alexa Fluor 555,*,Abcam,ab203457,EPR3947,AB_2889230,
POU5F1,Alexa Fluor 555,*,Abcam,ab210657,EPR17929,AB_2889231,
PR,eFluor 660,*,Thermo Fisher Scientific,50-9764-80,KMC912,AB_2574363,
PR,Alexa Fluor 594,*,Abcam,ab207855,YR85,,
PTEN,,*,Cell Signaling Technology,9559,138G6,AB_390810,
Rac,,*,BD Biosciences,610650,102/Rac1,AB_397977,
RAD51,Alexa Fluor 488,*,Abcam,ab196449,EPR4030(3),AB_2889232,
RB,phycoerythrin,*,Cell Signaling Technology,14731,4H1,AB_2798590,
RFP,,*,Thermo Fisher Scientific,R10367,,AB_10563941,
Runx,eFluor 660,*,Thermo Fisher Scientific (eBioscience),50-9817-80,R3-5G4,AB_2574384,
S100-A1,,*,Dako,Z0311,,AB_10013383,
S100-A9,FITC,*,Abcam,ab7429,MAC387,AB_305923,
SDHB,Alexa Fluor 647,*,Abcam,ab197722,21A11AE7,AB_2889233,
SHMT2,,*,Abcam,ab224427,,AB_2889234,
SirT3,,*,Cell Signaling Technology,2627,C73E3,AB_2188622,
SMAD2,Alexa Fluor 647,*,Abcam,ab196538,EP567Y,AB_2889235,
Smooth Muscle Myosin,Alexa Fluor 488,*,Abcam,ab197524,EPR5336(B),AB_2889236,
Sox2,Alexa Fluor 647,*,Abcam,ab192075,,AB_2728812,
Stat1,phycoerythrin,*,Cell Signaling Technology,80916,D1K9Y,AB_2799965,
Stat1,Alexa Fluor 647,*,Abcam,ab200417,EPR4407,AB_2889237,
Stat4,phycoerythrin,*,Abcam,ab216702,EP1900Y,AB_2889238,
Stat5a,Alexa Fluor 647,*,Abcam,ab194309,E289,AB_2889239,
Stat6,Alexa Fluor 488,*,Abcam,ab196478,YE361,AB_2889240,
Tbr2,,*,Millipore Sigma,AB2283,,AB_10806889,
TCF1/TCF7,Alexa Fluor 488,*,Cell Signaling Technology,6444,C63D9,AB_2797627,
TDP43,Alexa Fluor 488,*,Abcam,ab193842,EPR5810,AB_2889241,
TFEB,,*,Abcam,ab2636,,AB_303224,
TIA-1,,*,Santa Cruz Biotechnology,sc-1751,C-20,AB_2201433,Discontinued
TIM3,Alexa Fluor 647,*,Cell Signaling Technology,78226,D5D5R,AB_2799911,
TIM3,Alexa Fluor 488,*,Cell Signaling Technology,54669,D5D5R,AB_2799468,
TLR3,phycoerythrin,*,Thermo Fisher Scientific,MA5-16188,40C1285.6,AB_2537707,
TLR3,,*,Santa Cruz Biotechnology,sc-8691,,AB_2240700,Discontinued
TLR3,,*,Santa Cruz Biotechnology,sc-8692,C-20,AB_793169,
TLR5,phycoerythrin,*,Thermo Fisher Scientific,MA5-16241,19D759.2,AB_2537759,
TNF-alpha,Alexa Fluor 488,*,BioLegend,502917,MAb11,AB_493122,
TNF-alpha,,*,Abcam,ab11564,MP6-XT3,AB_298170,
TNF-R1,,*,Abcam,ab194814,H398,AB_2889242,
TP53,Alexa Fluor 488,*,Abcam,ab156030,9D3DE3,AB_2889243,
TSC2 (pS664),,*,Abcam,ab133465,EPR8202,AB_11157389,
TYRO3,,*,R&D Systems,MAB859-SP,96201,AB_2210975,
VDAC1,Alexa Fluor 647,*,Abcam,ab179840,20B12AF2,,
VDAC1,,*,Abcam,ab15895,,AB_2214787,
XIAP,,*,BD Biosciences,610762,48/ hILP1/ XIAP,AB_398085,
AKT (pS473),,0,Cell Signaling Technology,4051,587F11,AB_331158,
AKT (pS473),,0,Cell Signaling Technology,9271,,AB_329825,
AKT (pS473),,0,Cell Signaling Technology,12694,D9W9U,AB_2797994,
AKT (pT308),phycoerythrin,0,Cell Signaling Technology,13842,D25E6,AB_2798327,
AKT (pT308),,0,Cell Signaling Technology,2965,C31E5E,AB_10233973,
AKT (pT308),,0,Cell Signaling Technology,5106,L32A4,AB_836861,
AKT (pT308) (pan),,0,Abcam,ab8933,,AB_306868,
Akt-1 (pS473),,0,Cell Signaling Technology,4060,D9E,AB_2315049,
AKT1 (pS473),Alexa Fluor 647,0,Abcam,ab194200,EP2109Y,,
AKT1 (pT308),,0,Abcam,ab105731,18F3.H11,AB_10900490,
ALDH1A1,phycoerythrin,0,Cell Signaling Technology,65583,D9Q8E,AB_2799687,
ALK,,0,Santa Cruz Biotechnology,sc-53157,ALK1,AB_628703,
Amyloid Precursor Protein,Alexa Fluor 647,0,Abcam,ab199549,Y188,AB_2868404,
Amyloid-beta precursor protein,Alexa Fluor 488,0,BioLegend,803013,6E10,AB_2564765,
Aquaporin 4,,0,Abcam,ab9512,4/18,AB_307299,
AXL,,0,Cell Signaling Technology,8661,C89E7,AB_11217435,
BIM,Alexa Fluor 488,0,Abcam,ab200667,Y36,AB_2868516,
BRD4,Alexa Fluor 488,0,Abcam,ab197606,EPR5150(2),AB_2868517,
c-Jun,FITC,0,Santa Cruz Biotechnology,sc-1694 FITC,,AB_631263,Discontinued
c-Jun (pS63),,0,Santa Cruz Biotechnology,sc-822,KM-1,AB_627262,
c-Myc,,0,Santa Cruz Biotechnology,sc-40 TRITC,9E10,AB_627268,
CD103,APC,0,Thermo Fisher Scientific,17-1038-41,B-Ly7,AB_10669816,
CD11a,FITC,0,Thermo Fisher Scientific,11-0119-41,HI111,AB_10597888,
CD11c,phycoerythrin,0,BioLegend,337205,Bu15,AB_1236439,
CD11c,APC,0,BioLegend,337207,Bu15,AB_1279068,
CD11c,,0,BioLegend,117331,N418,AB_10900261,
CD123,,0,R&D Systems,MAB301-100,32703,AB_2124263,
CD13,,0,BD Biosciences,561361,WM15,AB_10645787,
CD133,phycoerythrin,0,Thermo Fisher Scientific,12-1338-41,TMP4,AB_1582258,
CD137,,0,Cell Signaling Technology,34594,D2Z4Y,AB_2747410,
CD141,Alexa Fluor 488,0,Abcam,ab237063,EPR4051,AB_2889244,
CD152,phycoerythrin,0,BioLegend,369603,BNI3,AB_2566796,
CD163,phycoerythrin,0,Abcam,ab95613,GHI/61,AB_10681084,
CD163,Alexa Fluor 647,0,BioLegend,326507,RM3/1,AB_893268,
CD163,Alexa Fluor 647,0,BioLegend,333619,GHI/61,AB_2563474,
CD1b,phycoerythrin,0,Abcam,ab232916,SN13,AB_2889245,
CD1d,,0,Abcam,ab11076,NOR3.2/13.17,AB_297728,
CD2,FITC,0,BioLegend,300206,RPA-2.10,AB_314030,
CD20,FITC,0,BioLegend,302303,2H7,AB_314251,
CD20,Alexa Fluor 488,0,Thermo Fisher Scientific (eBioscience),53-0202-80,L26,AB_10734357,
CD206,Alexa Fluor 647,0,BioLegend,321116,15-2,AB_571881,
CD26,Alexa Fluor 647,0,Santa Cruz Biotechnology,sc-52642 AF647,5E8,AB_629016,
CD28,Alexa Fluor 488,0,Santa Cruz Biotechnology,sc-19655 AF488,CD28.2,AB_627002,
CD28,,0,Abcam,ab113358,,AB_10861658,
CD31,ATTO 565,0,StressMarq Biosciences,SPC-1283D-A565,,AB_2712902,
CD33,FITC,0,BD Biosciences,340533,P67.6,AB_400047,
CD33,Alexa Fluor 647,0,Santa Cruz Biotechnology,sc-53199 AF647,6C5/2,AB_782152,
CD35,phycoerythrin,0,BioLegend,333405,E11,AB_2085021,
CD35,phycoerythrin,0,Abcam,ab82439,E11,AB_1658461,
CD35,FITC,0,Abcam,ab82441,E11,AB_2085008,
CD365,phycoerythrin,0,BioLegend,353903,1D12,AB_11125165,
CD3d,FITC,0,Abcam,ab34722,CD3-12,AB_2889246,
CD3e,eFluor 660,0,Thermo Fisher Scientific,50-0037-41,OKT3,AB_2574150,
CD3e,APC,0,Thermo Fisher Scientific,17-0038-41,UCHT1,AB_10804761,
CD3e,Alexa Fluor 647,0,BioLegend,300422,UCHT1,AB_493092,
CD45R,eFluor 660,0,Thermo Fisher Scientific (eBioscience),50-0452-82,RA3-6B2,AB_11217671,
CD45R,eFluor 570,0,Thermo Fisher Scientific (eBioscience),41-0452-80,RA3-6B2,AB_2573598,
CD45R,Alexa Fluor 647,0,BioLegend,103229,RA3-6B2,AB_492875,
CD56,FITC,0,Thermo Fisher Scientific,11-0566-41,TULY56,AB_2572458,
CD56,eFluor 660,0,Thermo Fisher Scientific,50-0565-80,5tukon56,AB_2574160,
CD56,Alexa Fluor 647,0,BioLegend,362513,5.1H11,AB_2564086,
CD56,Alexa Fluor 488,0,Abcam,ab200333,EPR2566,AB_2728815,
CD68,eFluor 570,0,Thermo Fisher Scientific,41-0687-80,815CU17,AB_2573600,
CD68,ATTO 655,0,StressMarq Biosciences,SMC-257,6F3,AB_2699772,
CD68,Alexa Fluor 488,0,BioLegend,137011,FA-11,AB_2074847,
CD69,,0,Abcam,ab202909,,AB_2889247,
CD83,,0,BioLegend,305301,HB15e,AB_314509,
CD85j,Alexa Fluor 647,0,BioLegend,333709,GHI/75,AB_2136384,
CD8a,Alexa Fluor 488,0,BioLegend,301024,RPA-T8,AB_2561282,
CEP170,,0,Abcam,ab72505,,AB_1268101,
Cleaved PARP (D214),Alexa Fluor 647,0,BD Biosciences,558710,F21-852,AB_1645431,
CtlP,Alexa Fluor 647,0,Novus Biologicals,NBP1-41205AF647,19E8,AB_2238010,
CXCR5,FITC,0,BioLegend,356913,J252D4,AB_2561895,
CXCR5,,0,GeneTex,GTX100351,,AB_1240668,
CXCR5,,0,R&D Systems,MAB190-SP,51505,AB_2292654,
DNMT3A,,0,Abcam,ab13888,64B1146,AB_300714,
E-cadherin,FITC,0,BioLegend,324103,67A4,AB_756065,
ERK,Alexa Fluor 488,0,Cell Signaling Technology,4780,137F5,AB_1903964,
ERK (pT202; pY204),Alexa Fluor 647,0,BioLegend,369503,6B8B69,AB_2571895,
FGFR1,phycoerythrin,0,Cell Signaling Technology,12777,D8E4,AB_2798023,
FOXO3,Alexa Fluor 647,0,Abcam,ab196539,EP1949Y,AB_2728818,
FOXO3a,,0,Cell Signaling Technology,2497S,75D8,AB_836876,
FOXP3,Alexa Fluor 488,0,BioLegend,320011,150D,AB_439747,
GATA3,Alexa Fluor 594,0,BioLegend,653816,16E10A23,AB_2563353,
GFAP,,0,Millipore Sigma,MAB3402C3,,AB_11213580,
Granzyme A,eFluor 660,0,Thermo Fisher Scientific,50-9177-41,CB9,AB_2574330,
Granzyme B,FITC,0,Abcam,ab17929,B18.1,AB_444109,
Granzyme B,Alexa Fluor 647,0,BioLegend,515405,GB11,AB_2294995,
Granzyme B,,0,Millipore Sigma,HPA003418,,AB_1079020,
Granzyme B,,0,Santa Cruz Biotechnology,sc-73620,GRB7,AB_2114695,
GRHL2,,0,Abcam,ab211360,,AB_2889248,
HIF1-alpha,Alexa Fluor 647,0,BioLegend,359705,546-16,AB_2563331,
Histone H2A.X (pS139),,0,Cell Signaling Technology,2577S,Ser 139,AB_2118011,
Homeo Box C10,,0,Abcam,ab153904,,AB_2687827,
HSF1,FITC,0,Abcam,ab186360,4B4,,Discontinued
HSF1,ATTO 655,0,StressMarq Biosciences,SMC-477D A655,4B4,AB_2702303,
HSF1,ATTO 565,0,StressMarq Biosciences,SMC-476D-A565,10H4,AB_2702282,
HSF1,ATTO 488,0,StressMarq Biosciences,SMC-118D-A488,10H8,AB_2698025,
IDO,phycoerythrin,0,Cell Signaling Technology,10312,D5J4E,AB_2797718,
IDO,eFluor 660,0,Thermo Fisher Scientific,50-9750-80,V1NC3IDO,AB_2574357,
IDO,,0,Millipore Sigma,MAB10009,1F8.2,AB_1977068,
LAG-3,phycoerythrin,0,BD Biosciences,565617,T47-530,AB_2889327,
LAG-3,phycoerythrin,0,R&D Systems,FAB2319P,,AB_2133351,
LAG-3,FITC,0,Thermo Fisher Scientific,11-2239-42,3DS223H,AB_2572486,
LAG-3,FITC,0,Adipogen,AG-20B-0012F-C100,17B4,AB_2490196,
LAG-3,,0,Abcam,ab40465,11E3,AB_776102,
lkBa (pS32; pS36),Alexa Fluor 647,0,Thermo Fisher Scientific (eBioscience),50-9035-41,RILYB3R,AB_2574311,
Ly6G,,0,BioLegend,127629,1A8,AB_10899738,
MCL1,Alexa Fluor 647,0,Abcam,ab197035,Y37,AB_2800505,
MCP1,FITC,0,LifeSpan BioSciences,LS-C211505,,AB_2889339,
MCP1,Alexa Fluor 647,0,BD Biosciences,563496,5D3-F7,AB_2738242,
MGMT,,0,Cell Signaling Technology,2739,,AB_2297658,
MGMT,,0,Origene,TA800732EM,OTI1B12,AB_2625647,
MIP3 Alpha,,0,Abcam,ab122889,,AB_10903028,
MITF,Alexa Fluor 488,0,Novus Biologicals,NB100-56561AF488,21D1418,AB_838580,
Mus81,Alexa Fluor 488,0,Novus Biologicals,NB100-2064 AF488,MTA30 2G10/3,AB_1109412,
NANOG,Alexa Fluor 647,0,Abcam,ab195018,EPR207(2),AB_2889249,
NeuN,Alexa Fluor 555,0,Abcam,ab207281,EPR12763,AB_2889250,
NeuN,Alexa Fluor 488,0,Millipore Sigma,MAB377X,A60,AB_2149209,
Neurofilament L,Alexa Fluor 488,0,Cell Signaling Technology,8024,C28E10,AB_10860421,
NGF receptor,FITC,0,BioLegend,345103,ME20.4,AB_1937226,
none (Nitrotyrosine),FITC,0,Abcam,ab183390,39B6,AB_2889251,
NOS2,Alexa Fluor 647,0,Cell Signaling Technology,48866,D6B6S,AB_2799345,
NOS2,Alexa Fluor 555,0,Abcam,ab209594,EPR16635,AB_2889252,
Notch1,,0,Abcam,ab8925,,AB_306863,
NRARP,Alexa Fluor 555,0,Bioss,bs-11914R-A555,,AB_2889335,
p44/42 (pT202; pY202; pY204),Alexa Fluor 488,0,Cell Signaling Technology,4374S,E10,AB_10705598,
p53,,0,Santa Cruz Biotechnology,sc-126,DO-1,AB_628082,
p63,,0,BioCare,"PM 366 AAK, HK",4A4,AB_2889329,
PD-1,phycoerythrin,0,BioLegend,329905,EH12.2H7,AB_940481,
PD-1,Alexa Fluor 488,0,BioLegend,329935,EH12.2H7,AB_2563593,
PD-1,Alexa Fluor 488,0,BioLegend,367407,NAT105,AB_2566677,
PD-1,,0,Thermo Fisher Scientific,14-9985-81,J43,AB_468663,
PD-1,,0,Abcam,ab63477,RMP1-14,AB_2159165,
PD-1,,0,R&D Systems,AF1021,,AB_354541,
PD-L1,,0,Dako,M365329-1,22C3,,
PDGFR,Alexa Fluor 555,0,Abcam,ab206874,Y92,AB_2728816,Discontinued
PDGFR-alpha,Alexa Fluor 555,0,Cell Signaling Technology,8893S,D13C6,AB_2797679,
POU5F1,Alexa Fluor 555,0,Cell Signaling Technology,4439,C30A3,AB_10922586,
PrlR,Alexa Fluor 488,0,Abcam,ab201760,EPR7184(2),AB_2889253,
RAD51,,0,Thermo Fisher Scientific (Invitrogen),MA5-14419,51RAD01 (3C10),AB_10985045,
Runx2,Alexa Fluor 647,0,Abcam,ab215955,EPR14334,AB_2889254,
S100-A4,FITC,0,BioLegend,370007,NJ-4F3-D1,AB_2572073,
S100-A4,Alexa Fluor 488,0,BioLegend,370007,NJ-4F3-D1,AB_2572073,
SATB1,Alexa Fluor 647,0,Abcam,ab204469,EPR3895,AB_204469,
SEC61A,Alexa Fluor 647,0,Abcam,ab205795,EPR14379,,Discontinued
Sox2,Alexa Fluor 488,0,BioLegend,656109,14A6A34,AB_2563956,
SPI1,Alexa Fluor 647,0,Cell Signaling Technology,2240,9G7,AB_2186911,
SSTR2,,0,Abcam,ab216649,UMB1,AB_2889255,
Stat6,Alexa Fluor 555,0,Abcam,ab207014,YE361,AB_2889256,
TP53,Alexa Fluor 488,0,Abcam,ab204245,DO-1,,Discontinued
TPCN2,,0,Abcam,ab119915,,AB_10903692,
YAP1,Alexa Fluor 647,0,Cell Signaling Technology,38707,D8H1X,AB_2728837,
